"","AudioFeature","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","effsize","magnitude","BONFERRONI"
"1","danceability","General","Sleep","3706388","130150","208.060442718527","136350.29737243","0","0","****","0.638367687306003","moderate",0
"2","danceability","General","Study","3706388","109628","45.138233594817","115184.523387277","0","0","****","0.143639101282983","negligible",0
"3","danceability","Study","Sleep","109628","130150","119.287030461877","239047.759645245","0","0","****","0.486575977464539","small",0
"4","instrumentalness","General","Study","0","0","122276.845493871","1","0",NA,NA,"0.179005765695446","NA",0
"5","instrumentalness","General","Sleep","0","0","146104.165867302","1","0",NA,NA,"0.195146850932692","NA",0
"6","instrumentalness","Study","Sleep","0","0","5.1879011038494","1","0.0227",NA,NA,"0.0046514802103641","NA",0.6129
"7","acousticness","General","Study","0","0","49754.9236430272","1","0",NA,NA,"0.114186020748371","NA",0
"8","acousticness","General","Sleep","0","0","117315.214719002","1","0",NA,NA,"0.17486682221086","NA",0
"9","acousticness","Study","Sleep","0","0","5479.21231769535","1","0",NA,NA,"0.15116609630884","NA",0
"10","loudness","General","Sleep","3706388","130150","367.481506888826","133211.363022855","0","0","****","1.25491180772569","large",0
"11","loudness","General","Study","3706388","109628","218.316965341719","113461.371862524","0","0","****","0.746756155024802","moderate",0
"12","loudness","Study","Sleep","109628","130150","145.872498633593","236953.370089116","0","0","****","0.590903829716806","moderate",0
"13","energy","General","Sleep","3706388","130150","548.83048689858","142028.868496334","0","0","****","1.45875526920057","large",0
"14","energy","General","Study","3706388","109628","321.771662230632","116874.285947576","0","0","****","0.963666269390709","large",0
"15","energy","Study","Sleep","109628","130150","115.443154566653","226337.367210628","0","0","****","0.474716866645044","small",0
"16","valence","General","Sleep","3706388","130150","360.224253600337","143655.683164718","0","0","****","0.926130888313248","large",0
"17","valence","General","Study","3706388","109628","209.617589519801","118107.502002609","0","0","****","0.603560962609716","moderate",0
"18","valence","Study","Sleep","109628","130150","80.2530481741563","227785.360381015","0","0","****","0.329807865936176","small",0
"19","speechiness","General","Sleep","3706388","130150","178.29842536586","163669.628701006","0","0","****","0.350293536499205","small",0
"20","speechiness","General","Study","3706388","109628","106.28669074019","127231.534007177","0","0","****","0.247775806473986","small",0
"21","speechiness","Study","Sleep","109628","130150","31.4859141872406","218850.144991102","4.16e-217","4.16e-217","****","0.129842435617712","negligible",1.1232e-215
"22","liveness","General","Sleep","3706388","130150","179.210443818236","153584.670033473","0","0","****","0.393550424130645","small",0
"23","liveness","General","Study","3706388","109628","182.079960516909","129749.912303188","0","0","****","0.40680689995421","small",0
"24","liveness","Study","Sleep","109628","130150","-1.00127881273154","238371.01775777","0.317","0.317","ns","-0.00408800440063212","negligible",1
"25","tempo","General","Sleep","3706388","130150","159.521957469725","137678.414999283","0","0","****","0.47105637509308","small",0
"26","tempo","General","Study","3706388","109628","80.0259207453499","115115.674986085","0","0","****","0.255338463299196","small",0
"27","tempo","Study","Sleep","109628","130150","50.9556122906077","233975.863648376","0","0","****","0.208759462587714","small",0
