"","Sleep.vars","Sleep.n","Sleep.mean","Sleep.sd","Sleep.median","Sleep.trimmed","Sleep.mad","Sleep.min","Sleep.max","Sleep.range","Sleep.skew","Sleep.kurtosis","Sleep.se","Sleep.IQR"
"acousticness",1,130150,0.737430973129082,0.308606793123298,0.886,0.790141980407222,0.1512252,0,0.996,0.996,-1.19574803787752,0.0453677826581989,0.000855427869709318,0.375
"danceability",2,130150,0.424156378025355,0.226902379458314,0.424,0.417852545140223,0.3054156,0,0.998,0.998,0.150280860741147,-1.16336405142302,0.000628951220184102,0.408
"energy",3,130150,0.233056897172493,0.23074662453316,0.154,0.199616620341913,0.19674102,0,1,1,1.05023588140597,0.209347375141012,0.000639607091824949,0.3316
"instrumentalness",4,130150,0.61908079355874,0.400169145566324,0.862,0.652137094522378,0.140847,0,1,1,-0.746191404603137,-1.28268837811356,0.00110922976208898,0.893275
"tempo",5,130150,104.931381682674,33.754480710969,96.5905,102.05389167307,34.7306463,0,240.645,240.645,0.608564989870306,-0.241134160076994,0.0935641216303111,52.25975
"liveness",6,130150,0.149145465232424,0.122650289775908,0.11,0.120622990779869,0.02475942,0,0.996,0.996,3.66746746382084,16.1968649149692,0.000339974616373131,0.0393
"loudness",7,130150,-19.7808117172493,9.93185910033115,-19.2465,-19.2834570879754,11.7577593,-60,1.009,61.009,-0.376654773671862,-0.600286724032073,0.0275301427634322,15.84075
"valence",8,130150,0.249255430026892,0.226892538008987,0.172,0.215463071456012,0.19733406,0,1,1,1.05443155198553,0.244025904666485,0.000628923940648395,0.3308
"speechiness",9,130150,0.0655616165962351,0.0744490753011078,0.0438,0.0479247406838264,0.01230558,0,0.959,0.959,4.70190158952388,28.6278105007105,0.000206365560660911,0.0193
"key",10,130150,5.00011525163273,3.54169234228146,5,4.92029389166347,4.4478,0,11,11,0.101248435463293,-1.27243402887151,0.00981722503533222,6
