"","General.vars","General.n","General.mean","General.sd","General.median","General.trimmed","General.mad","General.min","General.max","General.range","General.skew","General.kurtosis","General.se","General.IQR"
"acousticness",1,3706388,0.34697146219176,0.342643898271882,0.220512934029102,0.313517849444701,0.321153097878699,0,0.99579644203186,0.99579644203186,0.599551578740494,-1.13688249800545,0.000177978508043134,0.62616554601118
"danceability",2,3706388,0.556548581780903,0.18584402506047,0.572744131088257,0.564793110082187,0.194870003843307,0,0.9978067278862,0.9978067278862,-0.359217465202477,-0.437720496754535,9.65324130265055e-05,0.264892160892487
"energy",3,3706388,0.591849149869909,0.260281549063739,0.626114964485168,0.607738411564672,0.289752707862854,0,0.99998414516449,0.99998414516449,-0.434788709972764,-0.745879310866226,0.000135197276260155,0.397473268210888
"instrumentalness",4,3706388,0.207005443164906,0.344790490400849,0.000216187421756331,0.143567148477806,0.000320519464262447,0,0.999996423721313,0.999996423721313,1.28392962970267,-0.141848293358966,0.000179093506052489,0.313286028131081
"tempo",5,3706388,120.068359505025,30.42757311075,119.947998046875,118.623186779022,31.6742640472412,0,249.986999511719,249.986999511719,0.330133146226052,-0.173802910028446,0.0158049044297518,43.8260040283203
"liveness",6,3706388,0.212651508806693,0.192446125292424,0.129419475793839,0.171331330268653,0.0732742496050894,0,1,1,2.10332245928645,4.28822824969407,9.99617224499642e-05,0.17323312908411
"loudness",7,3706388,-9.60498780737306,5.73265397348413,-8.08399963378906,-8.73635331283407,4.03118919639587,-60,6.27500009536743,66.2750000953674,-1.80544224774848,4.60289706719581,0.00297769552142636,5.91900014877319
"valence",8,3706388,0.481476356712063,0.272514177731437,0.473602458834648,0.478110156762958,0.33590183865577,0,0.999989986419678,0.999989986419678,0.0865649357831859,-1.10516339081799,0.000141551234438611,0.45304960757494
"speechiness",9,3706388,0.10453095178491,0.138598043100263,0.0501267034560442,0.0716993527908703,0.0267680135015398,0,0.970579862594604,0.970579862594604,3.50871039096825,15.0480880521806,7.19915721630903e-05,0.0652631614357233
"key",10,3706388,5.27243397075532,3.56402041699102,5,5.24777647522253,4.4478,0,11,11,-0.0072371952747787,-1.29786711971916,0.00185124859847354,6
