"","Study.vars","Study.n","Study.mean","Study.sd","Study.median","Study.trimmed","Study.mad","Study.min","Study.max","Study.range","Study.skew","Study.kurtosis","Study.se","Study.IQR"
"acousticness",1,109628,0.621950547433046,0.358584516583534,0.766,0.651925090075709,0.3232068,0,0.996,0.996,-0.565503514969573,-1.24774083878499,0.00108300581264709,0.671
"danceability",2,109628,0.528671923231291,0.201969475357672,0.56,0.539652558606221,0.2134944,0,0.993,0.993,-0.426631679062423,-0.663443710838138,0.000609993197346227,0.299
"energy",3,109628,0.346801455763126,0.248147446657402,0.305,0.328427666925112,0.2772462,0,1,1,0.524270820415406,-0.687812546100981,0.000749461046684354,0.386
"instrumentalness",4,109628,0.607735002439158,0.387847257498513,0.84,0.639898999445863,0.1527078,0,1,1,-0.734588998695832,-1.26609078437106,0.00117138586543591,0.8322
"tempo",5,109628,111.927773835152,33.2720467992215,108.747,109.627222566816,38.154711,0,248.488,248.488,0.459507885542813,-0.364652531628021,0.100489057434884,51.86225
"liveness",6,109628,0.148666228518262,0.111546615510775,0.111,0.123943188452066,0.02905896,0,0.987,0.987,3.27393058476045,13.3801510445591,0.000336895842938986,0.0487
"loudness",7,109628,-14.5840285419783,7.4866123780282,-13.136,-13.9010097030922,7.479717,-60,5.236,65.236,-0.81896233574473,0.355496086798474,0.0226112515947168,10.508
"valence",8,109628,0.326360920525778,0.240488005428684,0.276,0.302465351637326,0.259455,0,1,1,0.702938697671856,-0.420083955380546,0.000726327813126577,0.367
"speechiness",9,109628,0.0759828146094064,0.085678349080982,0.046,0.0547734060020068,0.01645686,0,0.96,0.96,3.77294815760724,18.3502538087399,0.000258767865820815,0.031
"key",10,109628,5.13484693691393,3.55232375449799,5,5.0817066496397,4.4478,0,11,11,0.0419213918384859,-1.27603182956863,0.0107288159320996,6
